日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-26,000001,10.98,10.96,11.06,10.92,1106247,1214803430.68,1.27,-0.27,-0.03,0.57
2026-01-27,000001,10.96,10.94,11.03,10.93,894091,981119837.75,0.91,-0.18,-0.02,0.46
2026-01-28,000001,10.94,10.84,10.99,10.82,1438766,1570012850.06,1.55,-0.91,-0.1,0.74
2026-01-29,000001,10.84,10.96,10.98,10.66,1852994,2001845207.96,2.95,1.11,0.12,0.95
2026-01-30,000001,10.94,10.83,11.03,10.83,1091755,1191181198.25,1.82,-1.19,-0.13,0.56
2026-02-02,000001,10.82,10.86,11.03,10.8,1223173,1337643444.96,2.12,0.28,0.03,0.63
2026-02-03,000001,10.89,10.84,10.9,10.77,806628,872562155.41,1.2,-0.18,-0.02,0.42
2026-02-04,000001,10.85,10.97,10.98,10.84,695415,760107689.09,1.29,1.2,0.13,0.36
2026-02-05,000001,10.98,11.09,11.11,10.96,1177591,1301134141.58,1.37,1.09,0.12,0.61
2026-02-06,000001,11.08,11.05,11.14,10.99,727710,803862240.92,1.35,-0.36,-0.04,0.38
2026-02-09,000001,11.05,11.07,11.11,11.01,619717,685218214.66,0.9,0.18,0.02,0.32
2026-02-10,000001,11.07,11.06,11.1,11.02,600430,664140162.34,0.72,-0.09,-0.01,0.31
2026-02-11,000001,11.06,11.07,11.09,11.02,431041,476801864.09,0.63,0.09,0.01,0.22
2026-02-12,000001,11.07,10.96,11.08,10.93,681340,748338546.8,1.36,-0.99,-0.11,0.35
2026-02-13,000001,10.96,10.91,10.99,10.9,555047,607501376.05,0.82,-0.46,-0.05,0.29
2026-02-24,000001,10.93,10.91,10.95,10.88,602512,657487700.23,0.64,0.0,0.0,0.31
2026-02-25,000001,10.91,10.86,10.95,10.78,1063135,1156693737.43,1.56,-0.46,-0.05,0.55
2026-02-26,000001,10.86,10.87,10.91,10.8,712730,772947726.7,1.01,0.09,0.01,0.37
2026-02-27,000001,10.86,10.9,10.92,10.84,612228,666177345.8,0.74,0.28,0.03,0.32
2026-03-02,000001,10.85,10.85,10.89,10.77,838874,908747811.55,1.1,-0.46,-0.05,0.43
2026-03-03,000001,10.85,10.88,10.95,10.8,1028695,1119402076.0,1.38,0.28,0.03,0.53
2026-03-04,000001,10.84,10.71,10.84,10.67,1089714,1167995855.73,1.56,-1.56,-0.17,0.56
2026-03-05,000001,10.72,10.81,10.84,10.7,712641,768553597.53,1.31,0.93,0.1,0.37
2026-03-06,000001,10.78,10.82,10.84,10.77,476577,514733549.73,0.65,0.09,0.01,0.25
2026-03-09,000001,10.79,10.76,10.82,10.74,835892,900716851.39,0.74,-0.55,-0.06,0.43
2026-03-10,000001,10.77,10.81,10.81,10.73,790112,850573535.93,0.74,0.46,0.05,0.41
2026-03-11,000001,10.79,10.89,10.9,10.77,720535,781041008.86,1.2,0.74,0.08,0.37
2026-03-12,000001,10.87,10.94,10.96,10.85,754906,824171953.5,1.01,0.46,0.05,0.39
2026-03-13,000001,10.93,10.93,11.0,10.87,841939,920839355.51,1.19,-0.09,-0.01,0.43
2026-03-16,000001,10.93,10.92,10.97,10.88,715603,782089440.63,0.82,-0.09,-0.01,0.37
2026-03-17,000001,10.91,11.03,11.07,10.9,1076657,1187565491.59,1.56,1.01,0.11,0.55
2026-03-18,000001,11.04,10.96,11.04,10.91,791079,867711250.46,1.18,-0.63,-0.07,0.41
2026-03-19,000001,10.92,10.88,10.97,10.86,624212,681086518.72,1.0,-0.73,-0.08,0.32
2026-03-20,000001,10.87,10.77,10.94,10.76,834083,903819004.16,1.65,-1.01,-0.11,0.43
2026-03-23,000001,10.68,10.45,10.68,10.43,1580088,1666328347.8,2.32,-2.97,-0.32,0.81
2026-03-24,000001,10.52,10.88,10.89,10.52,1622251,1744746707.7,3.54,4.11,0.43,0.84
2026-03-25,000001,10.89,10.94,10.95,10.79,744780,809739890.44,1.47,0.55,0.06,0.38
